pp
7.983457183837890625e+01
8.564399719238281250e+01
9.791665649414062500e+01
1.142077636718750000e+02
1.309187164306640625e+02
1.452316741943359375e+02
1.558514099121093750e+02
1.627021942138671875e+02
1.664501190185546875e+02
1.680119781494140625e+02
1.682301483154296875e+02
1.678033752441406250e+02
1.673021392822265625e+02
1.669139709472656250e+02
1.666968383789062500e+02
1.668000030517578125e+02
