pp
4.725067901611328125e+01
4.701485443115234375e+01
4.649162292480468750e+01
4.618298721313476562e+01
4.607977676391601562e+01
4.610043334960937500e+01
4.618873977661132812e+01
4.626023483276367188e+01
4.631809997558593750e+01
4.636185073852539062e+01
4.646441650390625000e+01
4.654273986816406250e+01
4.667966079711914062e+01
4.685976409912109375e+01
4.696842956542968750e+01
4.725845718383789062e+01
