pp
1.071751327514648438e+02
1.040363769531250000e+02
1.017711105346679688e+02
1.012361526489257812e+02
1.011174850463867188e+02
1.010615005493164062e+02
1.006575393676757812e+02
1.005829620361328125e+02
1.010277481079101562e+02
1.032268295288085938e+02
1.042424545288085938e+02
1.048139190673828125e+02
1.062704238891601562e+02
1.070221405029296875e+02
1.072480087280273438e+02
1.073406982421875000e+02
