pp
1.620725250244140625e+02
1.603547973632812500e+02
1.586204376220703125e+02
1.574837188720703125e+02
1.575027770996093750e+02
1.581594696044921875e+02
1.586824645996093750e+02
1.589568328857421875e+02
1.589484405517578125e+02
1.589206542968750000e+02
1.593110046386718750e+02
1.597018280029296875e+02
1.597908477783203125e+02
1.603208007812500000e+02
1.612545471191406250e+02
1.620942840576171875e+02
