pp
3.029820861816406250e+02
3.060191345214843750e+02
3.085176696777343750e+02
3.115739135742187500e+02
3.125944519042968750e+02
3.083041992187500000e+02
3.023673095703125000e+02
2.978958740234375000e+02
2.975868225097656250e+02
3.015389709472656250e+02
3.045646362304687500e+02
3.066172485351562500e+02
3.063455200195312500e+02
3.056816711425781250e+02
3.042767028808593750e+02
3.029718933105468750e+02
